sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDBI,NDVI,NDWI,VH,VV,VV_minus_VH,angle
RS01_001,0.03844675124951941,-0.0629911572472126,-0.01384083044982699,-0.2364628988850442,-0.1085121107266436,0.05911572472126105,0.17279507881584008,0.12456747404844293,-0.04822760476739715,0.11909265667051133,-0.05173394848135333,0.2519646289888504,-6.151480199923106e-05,-0.08421376393694734,-0.000984236831987697,-0.2679584775086506,-0.08882737408688965,-0.05536332179930796,-0.05536332179930796,0.14769703960015382,-0.041584006151480196,0.15378700499807765,0.21413302575932336,0.186082276047674,-0.10340638216070744,0.12456747404844293,0.11909265667051133,-0.13016532103037293,-0.000984236831987697,0.05173394848135333,0.24415224913494812,-0.11909265667051133,0.012056901191849288,0.05911572472126105,0.07111111111111111,0.05911572472126105,0.017777777777777778,-0.11374086889657825,-0.08421376393694734,-0.0629911572472126,0.17279507881584008,-0.0629911572472126,0.10340638216070744,0.09842368319876971,-0.044844290657439445,-0.13588619761630144,-0.07535563244905807,-0.16000000000000003,0.01574778931180315,0.11374086889657825,0.0629911572472126,-0.09356401384083046,-0.1085121107266436,0.14769703960015382,0.08882737408688965,0.14173010380622836,0.012056901191849288,-0.05911572472126105,0.04822760476739715,0.42377547097270285,0.03543252595155709,-0.13016532103037293,0.029773164167627833,-0.08421376393694734,1910.5,937,412,598,414,891,2409.5,3145,3027,3459,0.5272452235221863,-0.22612658143043518,0.7593722939491272,-0.6700689792633057,-14.644452499297685,-8.213108063338996,6.431344435958689,41.15093994140625
RS01_002,-0.03844675124951941,-0.0629911572472126,-0.01384083044982699,-0.16633602460592078,-0.017777777777777778,-0.01574778931180315,0.15378700499807765,0.17937716262975778,0.044844290657439445,-0.024605920799692427,-0.08882737408688965,0.1929104190695886,0.03254133025759323,-0.07111111111111111,-0.0271280276816609,-0.2599000384467512,-0.044844290657439445,-0.01384083044982699,-0.12456747404844293,0.06698961937716265,-0.17279507881584008,0.14769703960015382,0.10340638216070744,0.09842368319876971,-0.16633602460592078,0.09842368319876971,0.09842368319876971,-0.08882737408688965,-0.03844675124951941,0.03254133025759323,0.2288965782391388,-0.13588619761630144,0.01574778931180315,0.09842368319876971,0.07972318339100345,-0.006151480199923107,-0.08882737408688965,-0.07111111111111111,-0.06698961937716265,-0.05173394848135333,0.3188927335640138,-0.15378700499807765,0.14769703960015382,0.14769703960015382,-0.13016532103037293,-0.15378700499807765,-0.08421376393694734,-0.05911572472126105,0.05173394848135333,0.029773164167627833,0.07535563244905807,-0.1085121107266436,-0.14173010380622836,0.16633602460592078,0.10340638216070744,0.17937716262975778,-0.017777777777777778,-0.002214532871972318,0.03844675124951941,0.3839138792772011,-0.03844675124951941,-0.1929104190695886,0.08882737408688965,-0.05911572472126105,2055,839,275,478,265,776,3048,3856,3763,4230,0.6353759169578552,-0.29357168078422546,0.8684210777282715,-0.7745814919471741,-14.604421564331481,-7.866144344994125,6.738277219337356,39.566680908203125
RS01_003,0.022206843521722412,0.012056901191849288,0.05173394848135333,-0.2069357939254133,-0.10340638216070744,-0.041584006151480196,0.11909265667051133,0.07111111111111111,0.0629911572472126,0.04822760476739715,-0.09842368319876971,0.2599000384467512,-0.0629911572472126,-0.12456747404844293,0.044844290657439445,-0.2761399461745483,-0.07111111111111111,-0.07535563244905807,-0.11374086889657825,0.003936947327950788,-0.05173394848135333,0.05911572472126105,0.21413302575932336,0.3014225297962323,-0.07972318339100345,0.06698961937716265,0.17279507881584008,-0.17937716262975778,-0.017777777777777778,-0.007443291041906958,0.2679584775086506,-0.13016532103037293,0.041584006151480196,-0.024605920799692427,0.11374086889657825,0.03844675124951941,-0.029773164167627833,-0.12456747404844293,-0.16633602460592078,-0.0629911572472126,0.17279507881584008,-0.044844290657439445,0.05911572472126105,0.03844675124951941,-0.0005536332179930795,-0.1085121107266436,-0.12456747404844293,-0.16000000000000003,0.029773164167627833,0.09842368319876971,0.1929104190695886,-0.03844675124951941,-0.11374086889657825,0.06698961937716265,0.04822760476739715,0.19986159169550174,0.06698961937716265,-0.041584006151480196,-0.012056901191849288,0.33685505574778934,-0.041584006151480196,-0.15378700499807765,0.0005536332179930795,0.029773164167627833,1596.5,615.5,294.5,416,230,632,2747,3842.5,3764,4168.5,0.7189176678657532,-0.40434661507606506,0.8848272562026978,-0.8009569644927979,-15.055482702929021,-6.725501832651215,8.329980870277806,41.87741470336914
RS01_004,0.05173394848135333,0.05911572472126105,0.05173394848135333,-0.17279507881584008,-0.08421376393694734,0.002214532871972318,0.14769703960015382,0.05173394848135333,0.03254133025759323,0.0629911572472126,-0.09842368319876971,0.3188927335640138,-0.04822760476739715,-0.12456747404844293,-0.007443291041906958,-0.2519646289888504,-0.10340638216070744,-0.03254133025759323,-0.09356401384083046,0.07535563244905807,-0.029773164167627833,0.07972318339100345,0.19986159169550174,0.2761399461745483,-0.12456747404844293,0.029773164167627833,0.17937716262975778,-0.186082276047674,-0.07111111111111111,0.03844675124951941,0.2519646289888504,-0.13588619761630144,0.05911572472126105,0.003014225297962322,0.08421376393694734,0.08882737408688965,-0.010396001537870049,-0.17937716262975778,-0.186082276047674,-0.07111111111111111,0.14769703960015382,-0.07535563244905807,0.05536332179930796,0.03543252595155709,-0.03844675124951941,-0.08882737408688965,-0.07535563244905807,-0.14769703960015382,-0.008858131487889272,0.12456747404844293,0.17937716262975778,-0.1085121107266436,-0.12456747404844293,0.004982698961937716,0.07535563244905807,0.19986159169550174,0.019930795847750864,-0.002214532871972318,0.0271280276816609,0.33685505574778934,-0.06698961937716265,-0.12456747404844293,0.010396001537870049,-0.019930795847750864,1712,669,254,441,258,758,3014,3845,3740,4261,0.6965298056602478,-0.37197357416152954,0.8709354400634766,-0.7890456914901733,-15.788502365630405,-6.991124263980726,8.797378101649679,38.667213439941406
RS01_005,-0.03543252595155709,-0.12456747404844293,0.029773164167627833,-0.15378700499807765,-0.1085121107266436,-0.006151480199923107,0.13016532103037293,0.15378700499807765,-0.10340638216070744,0.12456747404844293,-0.08421376393694734,0.2069357939254133,-0.03844675124951941,-0.041584006151480196,-0.08421376393694734,-0.21413302575932336,-0.11909265667051133,-0.006151480199923107,-0.0629911572472126,0.14173010380622836,-0.03844675124951941,0.16633602460592078,0.16633602460592078,0.16000000000000003,-0.11909265667051133,0.03844675124951941,0.1085121107266436,-0.07972318339100345,-0.07972318339100345,0.003014225297962322,0.3188927335640138,-0.19986159169550174,-0.008858131487889272,0.07535563244905807,0.04822760476739715,0.0629911572472126,0.11909265667051133,-0.08421376393694734,-0.14173010380622836,-0.05173394848135333,0.0629911572472126,-0.05536332179930796,0.14769703960015382,0.13588619761630144,-0.11374086889657825,-0.07535563244905807,-0.13016532103037293,-0.09356401384083046,0.004982698961937716,0.13016532103037293,0.003936947327950788,-0.07535563244905807,-0.06698961937716265,0.14769703960015382,0.1085121107266436,0.1929104190695886,-0.05536332179930796,-0.03543252595155709,0.05911572472126105,0.41362552864282975,0.05173394848135333,-0.2069357939254133,-0.029773164167627833,-0.07111111111111111,1952,912,1230,1326,1002,1470,3063,3732,3996,4080,0.6283618807792664,-0.343644917011261,0.599039614200592,-0.5016911029815674,-13.863041356445398,-6.033938966872867,7.829102389572531,36.60831832885742
RS01_006,0.04822760476739715,0.008858131487889272,0.007443291041906958,-0.2288965782391388,-0.08882737408688965,-0.003014225297962322,0.186082276047674,0.05911572472126105,0.0271280276816609,0.05911572472126105,-0.09356401384083046,0.2761399461745483,-0.05173394848135333,-0.08882737408688965,0.003014225297962322,-0.28444444444444444,-0.08882737408688965,-0.041584006151480196,-0.044844290657439445,0.11909265667051133,-0.006151480199923107,0.17937716262975778,0.16633602460592078,0.186082276047674,-0.1085121107266436,0.11374086889657825,0.14769703960015382,-0.13588619761630144,0.017777777777777778,0.01574778931180315,0.2761399461745483,-0.11909265667051133,0.002214532871972318,0.017777777777777778,0.07535563244905807,0.03844675124951941,-0.0271280276816609,-0.07972318339100345,-0.09842368319876971,-0.09842368319876971,0.14173010380622836,-0.05536332179930796,0.10340638216070744,0.04822760476739715,-0.08421376393694734,-0.15378700499807765,-0.08882737408688965,-0.15378700499807765,0.044844290657439445,0.14173010380622836,0.10340638216070744,-0.1085121107266436,-0.13588619761630144,0.10340638216070744,0.08882737408688965,0.19986159169550174,-0.029773164167627833,-0.0629911572472126,0.019930795847750864,0.40359861591695495,0.000984236831987697,-0.14769703960015382,-0.03254133025759323,-0.024605920799692427,1227,529,560,542,388,633,1916,2627,2460,2874,0.6460354924201965,-0.33441823720932007,0.7275280952453613,-0.6389073729515076,-15.111612634087985,-7.10628790908094,8.005324725007045,37.148536682128906
RS01_007,-0.024605920799692427,-0.041584006151480196,0.029773164167627833,-0.19986159169550174,-0.09842368319876971,0.017777777777777778,0.17279507881584008,0.13016532103037293,0.012056901191849288,0.03844675124951941,-0.08882737408688965,0.2069357939254133,0.006151480199923107,-0.019930795847750864,0.012056901191849288,-0.2364628988850442,-0.06698961937716265,0.012056901191849288,-0.03844675124951941,0.09842368319876971,-0.05911572472126105,0.17279507881584008,0.14173010380622836,0.14173010380622836,-0.16633602460592078,0.1085121107266436,0.11374086889657825,-0.13016532103037293,-0.029773164167627833,0.029773164167627833,0.28444444444444444,-0.17279507881584008,-0.017777777777777778,0.05173394848135333,0.05536332179930796,0.044844290657439445,0.008858131487889272,-0.022206843521722412,-0.09842368319876971,-0.07535563244905807,0.2069357939254133,-0.09842368319876971,0.14173010380622836,0.11909265667051133,-0.13588619761630144,-0.12456747404844293,-0.1085121107266436,-0.09356401384083046,0.03844675124951941,0.10340638216070744,0.041584006151480196,-0.10340638216070744,-0.14173010380622836,0.16000000000000003,0.14173010380622836,0.24415224913494812,-0.07535563244905807,-0.05173394848135333,0.041584006151480196,0.41362552864282975,0.019930795847750864,-0.15378700499807765,0.03543252595155709,-0.07111111111111111,1991,924,490,656,446,947,2849,3792,3852,4157,0.6130653023719788,-0.3185007572174072,0.792461633682251,-0.7089618444442749,-14.47462854968455,-7.577110416746321,6.897518132938228,36.49705505371094
RS01_008,0.012056901191849288,-0.003014225297962322,-0.0271280276816609,-0.19986159169550174,-0.13016532103037293,0.03254133025759323,0.13016532103037293,0.05536332179930796,0.029773164167627833,0.06698961937716265,-0.07111111111111111,0.2599000384467512,-0.019930795847750864,-0.09842368319876971,0.019930795847750864,-0.2761399461745483,-0.09842368319876971,-0.01574778931180315,-0.1085121107266436,0.11909265667051133,-0.05536332179930796,0.14173010380622836,0.19986159169550174,0.1929104190695886,-0.11374086889657825,0.16633602460592078,0.14173010380622836,-0.2069357939254133,-0.010396001537870049,0.08421376393694734,0.2761399461745483,-0.09842368319876971,0.05173394848135333,0.0271280276816609,0.09842368319876971,0.044844290657439445,-0.03844675124951941,-0.06698961937716265,-0.07535563244905807,-0.09356401384083046,0.14173010380622836,-0.11374086889657825,0.0629911572472126,0.08421376393694734,-0.09356401384083046,-0.15378700499807765,-0.05911572472126105,-0.13016532103037293,0.022206843521722412,0.09356401384083046,0.11374086889657825,-0.10340638216070744,-0.14173010380622836,0.14173010380622836,0.1085121107266436,0.1929104190695886,0.002214532871972318,-0.041584006151480196,0.05911572472126105,0.3839138792772011,-0.019930795847750864,-0.10340638216070744,0.05173394848135333,-0.05536332179930796,1274,544.5,307.5,419,265,631,1949,2596.5,2441,2752,0.6352369785308838,-0.31413188576698303,0.8041389584541321,-0.7069929838180542,-15.565014858817104,-7.73198733919123,7.833027519625874,37.418514251708984
RS01_009,-0.017777777777777778,0.029773164167627833,0.010396001537870049,-0.10340638216070744,-0.07535563244905807,0.14173010380622836,0.2599000384467512,0.07972318339100345,-0.0629911572472126,-0.008858131487889272,-0.05173394848135333,0.186082276047674,0.008858131487889272,0.07111111111111111,0.01384083044982699,-0.16000000000000003,-0.03254133025759323,0.07111111111111111,-0.05536332179930796,0.17279507881584008,-0.10340638216070744,0.2069357939254133,-0.012056901191849288,0.06698961937716265,-0.14173010380622836,0.24415224913494812,0.14769703960015382,-0.12456747404844293,-0.0271280276816609,0.09356401384083046,0.186082276047674,-0.044844290657439445,-0.0629911572472126,0.16633602460592078,0.09356401384083046,0.09842368319876971,-0.05173394848135333,-0.010396001537870049,-0.04822760476739715,-0.07972318339100345,0.17279507881584008,-0.16000000000000003,0.09356401384083046,0.186082276047674,-0.2069357939254133,-0.044844290657439445,0.05536332179930796,-0.09356401384083046,-0.017777777777777778,0.0629911572472126,-0.007443291041906958,-0.1929104190695886,-0.2288965782391388,0.19986159169550174,0.22145328719723184,0.14173010380622836,-0.09356401384083046,-0.03844675124951941,0.04822760476739715,0.2679584775086506,-0.010396001537870049,-0.08421376393694734,0.10340638216070744,-0.16000000000000003,2191,1030,477,692,444,986,2923,3729,3672,4025,0.561888575553894,-0.2526010572910309,0.7842565774917603,-0.6828597784042358,-15.027727095794818,-7.679196715525634,7.3485303802691835,37.13713836669922
RS01_010,0.044844290657439445,0.0271280276816609,0.07972318339100345,-0.16633602460592078,-0.1085121107266436,-0.00024605920799692423,0.12456747404844293,0.06698961937716265,0.01574778931180315,0.04822760476739715,-0.09356401384083046,0.3188927335640138,-0.07972318339100345,-0.11374086889657825,-0.00024605920799692423,-0.2519646289888504,-0.05173394848135333,-0.010396001537870049,-0.07972318339100345,0.05173394848135333,-0.03844675124951941,0.08421376393694734,0.2069357939254133,0.2679584775086506,-0.1085121107266436,0.03844675124951941,0.186082276047674,-0.21413302575932336,-0.08882737408688965,0.08882737408688965,0.24415224913494812,-0.15378700499807765,0.08421376393694734,6.151480199923106e-05,0.05173394848135333,0.05173394848135333,0.017777777777777778,-0.21413302575932336,-0.17279507881584008,-0.07535563244905807,0.11909265667051133,-0.07111111111111111,0.0271280276816609,0.05911572472126105,-0.06698961937716265,-0.0629911572472126,-0.08882737408688965,-0.16000000000000003,-0.01574778931180315,0.10340638216070744,0.16633602460592078,-0.10340638216070744,-0.16633602460592078,-0.004982698961937716,0.09356401384083046,0.186082276047674,0.029773164167627833,-0.00024605920799692423,0.029773164167627833,0.3278123798539023,-0.041584006151480196,-0.13016532103037293,0.003936947327950788,-0.03254133025759323,1884,726,361,492,288,731,3152,4335,4584,4600,0.7265536785125732,-0.41743969917297363,0.8817734122276306,-0.8061465620994568,-14.823670784198459,-6.8136250418012185,8.01004574239724,34.9140625
