sample_id,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
RS01_001,0.03844675124951941,-0.0629911572472126,-0.01384083044982699,-0.2364628988850442,-0.1085121107266436,0.05911572472126105,0.17279507881584008,0.12456747404844293,-0.04822760476739715,0.11909265667051133,-0.05173394848135333,0.2519646289888504,-6.151480199923106e-05,-0.08421376393694734,-0.000984236831987697,-0.2679584775086506,-0.08882737408688965,-0.05536332179930796,-0.05536332179930796,0.14769703960015382,-0.041584006151480196,0.15378700499807765,0.21413302575932336,0.186082276047674,-0.10340638216070744,0.12456747404844293,0.11909265667051133,-0.13016532103037293,-0.000984236831987697,0.05173394848135333,0.24415224913494812,-0.11909265667051133,0.012056901191849288,0.05911572472126105,0.07111111111111111,0.05911572472126105,0.017777777777777778,-0.11374086889657825,-0.08421376393694734,-0.0629911572472126,0.17279507881584008,-0.0629911572472126,0.10340638216070744,0.09842368319876971,-0.044844290657439445,-0.13588619761630144,-0.07535563244905807,-0.16000000000000003,0.01574778931180315,0.11374086889657825,0.0629911572472126,-0.09356401384083046,-0.1085121107266436,0.14769703960015382,0.08882737408688965,0.14173010380622836,0.012056901191849288,-0.05911572472126105,0.04822760476739715,0.42377547097270285,0.03543252595155709,-0.13016532103037293,0.029773164167627833,-0.08421376393694734
RS01_002,-0.03844675124951941,-0.0629911572472126,-0.01384083044982699,-0.16633602460592078,-0.017777777777777778,-0.01574778931180315,0.15378700499807765,0.17937716262975778,0.044844290657439445,-0.024605920799692427,-0.08882737408688965,0.1929104190695886,0.03254133025759323,-0.07111111111111111,-0.0271280276816609,-0.2599000384467512,-0.044844290657439445,-0.01384083044982699,-0.12456747404844293,0.06698961937716265,-0.17279507881584008,0.14769703960015382,0.10340638216070744,0.09842368319876971,-0.16633602460592078,0.09842368319876971,0.09842368319876971,-0.08882737408688965,-0.03844675124951941,0.03254133025759323,0.2288965782391388,-0.13588619761630144,0.01574778931180315,0.09842368319876971,0.07972318339100345,-0.006151480199923107,-0.08882737408688965,-0.07111111111111111,-0.06698961937716265,-0.05173394848135333,0.3188927335640138,-0.15378700499807765,0.14769703960015382,0.14769703960015382,-0.13016532103037293,-0.15378700499807765,-0.08421376393694734,-0.05911572472126105,0.05173394848135333,0.029773164167627833,0.07535563244905807,-0.1085121107266436,-0.14173010380622836,0.16633602460592078,0.10340638216070744,0.17937716262975778,-0.017777777777777778,-0.002214532871972318,0.03844675124951941,0.3839138792772011,-0.03844675124951941,-0.1929104190695886,0.08882737408688965,-0.05911572472126105
RS01_003,0.022206843521722412,0.012056901191849288,0.05173394848135333,-0.2069357939254133,-0.10340638216070744,-0.041584006151480196,0.11909265667051133,0.07111111111111111,0.0629911572472126,0.04822760476739715,-0.09842368319876971,0.2599000384467512,-0.0629911572472126,-0.12456747404844293,0.044844290657439445,-0.2761399461745483,-0.07111111111111111,-0.07535563244905807,-0.11374086889657825,0.003936947327950788,-0.05173394848135333,0.05911572472126105,0.21413302575932336,0.3014225297962323,-0.07972318339100345,0.06698961937716265,0.17279507881584008,-0.17937716262975778,-0.017777777777777778,-0.007443291041906958,0.2679584775086506,-0.13016532103037293,0.041584006151480196,-0.024605920799692427,0.11374086889657825,0.03844675124951941,-0.029773164167627833,-0.12456747404844293,-0.16633602460592078,-0.0629911572472126,0.17279507881584008,-0.044844290657439445,0.05911572472126105,0.03844675124951941,-0.0005536332179930795,-0.1085121107266436,-0.12456747404844293,-0.16000000000000003,0.029773164167627833,0.09842368319876971,0.1929104190695886,-0.03844675124951941,-0.11374086889657825,0.06698961937716265,0.04822760476739715,0.19986159169550174,0.06698961937716265,-0.041584006151480196,-0.012056901191849288,0.33685505574778934,-0.041584006151480196,-0.15378700499807765,0.0005536332179930795,0.029773164167627833
RS01_004,0.05173394848135333,0.05911572472126105,0.05173394848135333,-0.17279507881584008,-0.08421376393694734,0.002214532871972318,0.14769703960015382,0.05173394848135333,0.03254133025759323,0.0629911572472126,-0.09842368319876971,0.3188927335640138,-0.04822760476739715,-0.12456747404844293,-0.007443291041906958,-0.2519646289888504,-0.10340638216070744,-0.03254133025759323,-0.09356401384083046,0.07535563244905807,-0.029773164167627833,0.07972318339100345,0.19986159169550174,0.2761399461745483,-0.12456747404844293,0.029773164167627833,0.17937716262975778,-0.186082276047674,-0.07111111111111111,0.03844675124951941,0.2519646289888504,-0.13588619761630144,0.05911572472126105,0.003014225297962322,0.08421376393694734,0.08882737408688965,-0.010396001537870049,-0.17937716262975778,-0.186082276047674,-0.07111111111111111,0.14769703960015382,-0.07535563244905807,0.05536332179930796,0.03543252595155709,-0.03844675124951941,-0.08882737408688965,-0.07535563244905807,-0.14769703960015382,-0.008858131487889272,0.12456747404844293,0.17937716262975778,-0.1085121107266436,-0.12456747404844293,0.004982698961937716,0.07535563244905807,0.19986159169550174,0.019930795847750864,-0.002214532871972318,0.0271280276816609,0.33685505574778934,-0.06698961937716265,-0.12456747404844293,0.010396001537870049,-0.019930795847750864
RS01_005,-0.03543252595155709,-0.12456747404844293,0.029773164167627833,-0.15378700499807765,-0.1085121107266436,-0.006151480199923107,0.13016532103037293,0.15378700499807765,-0.10340638216070744,0.12456747404844293,-0.08421376393694734,0.2069357939254133,-0.03844675124951941,-0.041584006151480196,-0.08421376393694734,-0.21413302575932336,-0.11909265667051133,-0.006151480199923107,-0.0629911572472126,0.14173010380622836,-0.03844675124951941,0.16633602460592078,0.16633602460592078,0.16000000000000003,-0.11909265667051133,0.03844675124951941,0.1085121107266436,-0.07972318339100345,-0.07972318339100345,0.003014225297962322,0.3188927335640138,-0.19986159169550174,-0.008858131487889272,0.07535563244905807,0.04822760476739715,0.0629911572472126,0.11909265667051133,-0.08421376393694734,-0.14173010380622836,-0.05173394848135333,0.0629911572472126,-0.05536332179930796,0.14769703960015382,0.13588619761630144,-0.11374086889657825,-0.07535563244905807,-0.13016532103037293,-0.09356401384083046,0.004982698961937716,0.13016532103037293,0.003936947327950788,-0.07535563244905807,-0.06698961937716265,0.14769703960015382,0.1085121107266436,0.1929104190695886,-0.05536332179930796,-0.03543252595155709,0.05911572472126105,0.41362552864282975,0.05173394848135333,-0.2069357939254133,-0.029773164167627833,-0.07111111111111111
RS01_006,0.04822760476739715,0.008858131487889272,0.007443291041906958,-0.2288965782391388,-0.08882737408688965,-0.003014225297962322,0.186082276047674,0.05911572472126105,0.0271280276816609,0.05911572472126105,-0.09356401384083046,0.2761399461745483,-0.05173394848135333,-0.08882737408688965,0.003014225297962322,-0.28444444444444444,-0.08882737408688965,-0.041584006151480196,-0.044844290657439445,0.11909265667051133,-0.006151480199923107,0.17937716262975778,0.16633602460592078,0.186082276047674,-0.1085121107266436,0.11374086889657825,0.14769703960015382,-0.13588619761630144,0.017777777777777778,0.01574778931180315,0.2761399461745483,-0.11909265667051133,0.002214532871972318,0.017777777777777778,0.07535563244905807,0.03844675124951941,-0.0271280276816609,-0.07972318339100345,-0.09842368319876971,-0.09842368319876971,0.14173010380622836,-0.05536332179930796,0.10340638216070744,0.04822760476739715,-0.08421376393694734,-0.15378700499807765,-0.08882737408688965,-0.15378700499807765,0.044844290657439445,0.14173010380622836,0.10340638216070744,-0.1085121107266436,-0.13588619761630144,0.10340638216070744,0.08882737408688965,0.19986159169550174,-0.029773164167627833,-0.0629911572472126,0.019930795847750864,0.40359861591695495,0.000984236831987697,-0.14769703960015382,-0.03254133025759323,-0.024605920799692427
RS01_007,-0.024605920799692427,-0.041584006151480196,0.029773164167627833,-0.19986159169550174,-0.09842368319876971,0.017777777777777778,0.17279507881584008,0.13016532103037293,0.012056901191849288,0.03844675124951941,-0.08882737408688965,0.2069357939254133,0.006151480199923107,-0.019930795847750864,0.012056901191849288,-0.2364628988850442,-0.06698961937716265,0.012056901191849288,-0.03844675124951941,0.09842368319876971,-0.05911572472126105,0.17279507881584008,0.14173010380622836,0.14173010380622836,-0.16633602460592078,0.1085121107266436,0.11374086889657825,-0.13016532103037293,-0.029773164167627833,0.029773164167627833,0.28444444444444444,-0.17279507881584008,-0.017777777777777778,0.05173394848135333,0.05536332179930796,0.044844290657439445,0.008858131487889272,-0.022206843521722412,-0.09842368319876971,-0.07535563244905807,0.2069357939254133,-0.09842368319876971,0.14173010380622836,0.11909265667051133,-0.13588619761630144,-0.12456747404844293,-0.1085121107266436,-0.09356401384083046,0.03844675124951941,0.10340638216070744,0.041584006151480196,-0.10340638216070744,-0.14173010380622836,0.16000000000000003,0.14173010380622836,0.24415224913494812,-0.07535563244905807,-0.05173394848135333,0.041584006151480196,0.41362552864282975,0.019930795847750864,-0.15378700499807765,0.03543252595155709,-0.07111111111111111
RS01_008,0.012056901191849288,-0.003014225297962322,-0.0271280276816609,-0.19986159169550174,-0.13016532103037293,0.03254133025759323,0.13016532103037293,0.05536332179930796,0.029773164167627833,0.06698961937716265,-0.07111111111111111,0.2599000384467512,-0.019930795847750864,-0.09842368319876971,0.019930795847750864,-0.2761399461745483,-0.09842368319876971,-0.01574778931180315,-0.1085121107266436,0.11909265667051133,-0.05536332179930796,0.14173010380622836,0.19986159169550174,0.1929104190695886,-0.11374086889657825,0.16633602460592078,0.14173010380622836,-0.2069357939254133,-0.010396001537870049,0.08421376393694734,0.2761399461745483,-0.09842368319876971,0.05173394848135333,0.0271280276816609,0.09842368319876971,0.044844290657439445,-0.03844675124951941,-0.06698961937716265,-0.07535563244905807,-0.09356401384083046,0.14173010380622836,-0.11374086889657825,0.0629911572472126,0.08421376393694734,-0.09356401384083046,-0.15378700499807765,-0.05911572472126105,-0.13016532103037293,0.022206843521722412,0.09356401384083046,0.11374086889657825,-0.10340638216070744,-0.14173010380622836,0.14173010380622836,0.1085121107266436,0.1929104190695886,0.002214532871972318,-0.041584006151480196,0.05911572472126105,0.3839138792772011,-0.019930795847750864,-0.10340638216070744,0.05173394848135333,-0.05536332179930796
RS01_009,-0.017777777777777778,0.029773164167627833,0.010396001537870049,-0.10340638216070744,-0.07535563244905807,0.14173010380622836,0.2599000384467512,0.07972318339100345,-0.0629911572472126,-0.008858131487889272,-0.05173394848135333,0.186082276047674,0.008858131487889272,0.07111111111111111,0.01384083044982699,-0.16000000000000003,-0.03254133025759323,0.07111111111111111,-0.05536332179930796,0.17279507881584008,-0.10340638216070744,0.2069357939254133,-0.012056901191849288,0.06698961937716265,-0.14173010380622836,0.24415224913494812,0.14769703960015382,-0.12456747404844293,-0.0271280276816609,0.09356401384083046,0.186082276047674,-0.044844290657439445,-0.0629911572472126,0.16633602460592078,0.09356401384083046,0.09842368319876971,-0.05173394848135333,-0.010396001537870049,-0.04822760476739715,-0.07972318339100345,0.17279507881584008,-0.16000000000000003,0.09356401384083046,0.186082276047674,-0.2069357939254133,-0.044844290657439445,0.05536332179930796,-0.09356401384083046,-0.017777777777777778,0.0629911572472126,-0.007443291041906958,-0.1929104190695886,-0.2288965782391388,0.19986159169550174,0.22145328719723184,0.14173010380622836,-0.09356401384083046,-0.03844675124951941,0.04822760476739715,0.2679584775086506,-0.010396001537870049,-0.08421376393694734,0.10340638216070744,-0.16000000000000003
RS01_010,0.044844290657439445,0.0271280276816609,0.07972318339100345,-0.16633602460592078,-0.1085121107266436,-0.00024605920799692423,0.12456747404844293,0.06698961937716265,0.01574778931180315,0.04822760476739715,-0.09356401384083046,0.3188927335640138,-0.07972318339100345,-0.11374086889657825,-0.00024605920799692423,-0.2519646289888504,-0.05173394848135333,-0.010396001537870049,-0.07972318339100345,0.05173394848135333,-0.03844675124951941,0.08421376393694734,0.2069357939254133,0.2679584775086506,-0.1085121107266436,0.03844675124951941,0.186082276047674,-0.21413302575932336,-0.08882737408688965,0.08882737408688965,0.24415224913494812,-0.15378700499807765,0.08421376393694734,6.151480199923106e-05,0.05173394848135333,0.05173394848135333,0.017777777777777778,-0.21413302575932336,-0.17279507881584008,-0.07535563244905807,0.11909265667051133,-0.07111111111111111,0.0271280276816609,0.05911572472126105,-0.06698961937716265,-0.0629911572472126,-0.08882737408688965,-0.16000000000000003,-0.01574778931180315,0.10340638216070744,0.16633602460592078,-0.10340638216070744,-0.16633602460592078,-0.004982698961937716,0.09356401384083046,0.186082276047674,0.029773164167627833,-0.00024605920799692423,0.029773164167627833,0.3278123798539023,-0.041584006151480196,-0.13016532103037293,0.003936947327950788,-0.03254133025759323
