timestamp,config_hash,input_files,random_seed,status,reason,stack,stack_label,model,split,fold,original_policy,sensitivity_policy,missing_sentinel,rows_with_missing_before_policy,sentinel_cells_before_policy,train_count_original,test_count_original,train_count_complete_case,test_count_complete_case,train_rows_dropped_missing,test_rows_dropped_missing,original_table3_oa,original_table3_macro_f1,complete_case_oa,complete_case_macro_f1,delta_oa_complete_minus_original,delta_macro_f1_complete_minus_original,sklearn_version,numpy_version,pandas_version
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,random,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.6451612903225806,0.6359416999616637,0.631578947368421,0.6198583151080921,-0.01358234295415961,-0.016083384853571636,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,random,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,467,155,456,152,11,3,0.5935483870967742,0.5962397354095993,0.5986842105263158,0.6011601329462471,0.005135823429541664,0.004920397536647858,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,spatial,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,184,124,184,113,0,11,0.3387096774193548,0.30283423752644,0.37168141592920356,0.34064727790904087,0.03297173850984875,0.03781304038260086,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,spatial,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,104,139,91,139,13,0,0.4748201438848921,0.4269917454668228,0.4748201438848921,0.42531719362382975,0.0,-0.0016745518429930328,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,spatial,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,30,219,30,216,0,3,0.3607305936073059,0.218945778623198,0.36574074074074076,0.2235028090291248,0.005010147133434839,0.00455703040592681,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B1.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,,B1,S1+S2,RandomForest,spatial,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,14,196,88,140,88,140,0,0,0.4,0.3683266459737048,0.4,0.36832664597370485,0.0,5.551115123125783e-17,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,random,1,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,466,156,466,156,0,0,0.717948717948718,0.7095097879577364,0.717948717948718,0.7095097879577364,0.0,0.0,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,random,2,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,466,156,466,156,0,0,0.7435897435897436,0.7435515305444311,0.7435897435897436,0.7435515305444311,0.0,0.0,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,random,3,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,467,155,467,155,0,0,0.7354838709677419,0.7196903650594247,0.7354838709677419,0.7196903650594247,0.0,0.0,1.9.0,2.4.6,3.0.3
20260624T074218Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,data\reference_samples_verified_622_public.csv;data\features_fold3_teacher_vhr_repair_20260613\B2.csv;config\config_fold3_teacher_vhr_repair_20260613.yaml;results\active_q25_rerun\table3_accuracy_by_stack_split.csv;results\active_q25_rerun\variogram_choice.json,42,OK,No sentinel/NaN feature rows in this stack; complete-case rerun is a no-missing reference.,B2,AlphaEarth 64-dim embedding,RandomForest,random,4,sentinel_to_nan_then_median_impute,complete_case_drop_rows_with_nan_or_sentinel,-9999,0,0,467,155,467,155,0,0,0.7419354838709677,0.7415714345395438,0.7419354838709677,0.7415714345395438,0.0,0.0,1.9.0,2.4.6,3.0.3
