held_out_region,stack,model,calibration_fraction,status,n_repeats,baseline_oa_mean,baseline_oa_median,baseline_oa_min,baseline_oa_max,baseline_oa_sd,calibrated_oa_mean,calibrated_oa_median,calibrated_oa_min,calibrated_oa_max,calibrated_oa_sd,delta_oa_mean,delta_oa_median,delta_oa_min,delta_oa_max,delta_oa_sd,baseline_macro_f1_mean,baseline_macro_f1_median,baseline_macro_f1_min,baseline_macro_f1_max,baseline_macro_f1_sd,calibrated_macro_f1_mean,calibrated_macro_f1_median,calibrated_macro_f1_min,calibrated_macro_f1_max,calibrated_macro_f1_sd,delta_macro_f1_mean,delta_macro_f1_median,delta_macro_f1_min,delta_macro_f1_max,delta_macro_f1_sd,n_calibration_mean,n_calibration_median,n_calibration_min,n_calibration_max,n_calibration_sd,n_test_mean,n_test_median,n_test_min,n_test_max,n_test_sd
johor_negeri_pahang_rubber_belt,B2,RandomForest,0.2,OK,30,0.26944444444444443,0.26666666666666666,0.18333333333333332,0.35,0.0433473304832667,0.3694444444444444,0.36666666666666664,0.3,0.4166666666666667,0.030350233176950642,0.1,0.09999999999999998,0.016666666666666663,0.20000000000000004,0.04442049162974621,0.23777729586151936,0.23433981272964322,0.19093567251461988,0.2925592925592926,0.029230461014725234,0.2727662075446332,0.2792861822273587,0.20538720538720537,0.3205585264408794,0.030861062055258983,0.03498891168311386,0.03827324536940081,-0.051650201650201705,0.09208183530217429,0.03260422657577338,15.0,15.0,15.0,15.0,0.0,60.0,60.0,60.0,60.0,0.0
johor_negeri_pahang_rubber_belt,B2,RandomForest,0.33,OK,30,0.26333333333333336,0.26,0.18,0.4,0.057794721948093764,0.4100000000000001,0.41000000000000003,0.32,0.5,0.04417832203616424,0.1466666666666667,0.15,0.06,0.24,0.04277715578987533,0.2334347837789428,0.2304699657640834,0.15079365079365079,0.4056565656565656,0.04902082753182934,0.2768231330284055,0.26084055925253746,0.22551825830514352,0.3912568306010929,0.04130579489346288,0.043388349249462714,0.05261620563344703,-0.08269189591770232,0.13191617126043353,0.043457853765196654,25.0,25.0,25.0,25.0,0.0,50.0,50.0,50.0,50.0,0.0
johor_negeri_pahang_rubber_belt,B2,RandomForest,0.5,OK,30,0.2711711711711712,0.2702702702702703,0.13513513513513514,0.43243243243243246,0.06676440951088583,0.43963963963963965,0.4594594594594595,0.32432432432432434,0.5405405405405406,0.0622546147176468,0.16846846846846847,0.18918918918918917,0.05405405405405406,0.24324324324324326,0.05708348390360032,0.237628459724221,0.24467971053336907,0.1096096096096096,0.39047619047619053,0.062409401018619026,0.2684541233516263,0.27860520094562646,0.14814814814814814,0.36560846560846566,0.06022987455184514,0.030825663627405332,0.0374309736011864,-0.06802721088435382,0.09370008306178519,0.03339796712109321,38.0,38.0,38.0,38.0,0.0,37.0,37.0,37.0,37.0,0.0
johor_negeri_pahang_rubber_belt,B3,RandomForest,0.2,OK,30,0.2727777777777778,0.26666666666666666,0.23333333333333334,0.31666666666666665,0.02376583292911937,0.3777777777777778,0.38333333333333336,0.3,0.43333333333333335,0.034277807274092034,0.10500000000000001,0.10000000000000003,0.033333333333333326,0.18333333333333335,0.04015057864486193,0.2592283915534956,0.25784770784770783,0.2111111111111111,0.3053929121725732,0.022008949989932643,0.27746877347220894,0.2830006798756799,0.2082470669427191,0.31690034675109297,0.027560942989340673,0.018240381918713456,0.023152195027195024,-0.08064182194616981,0.07206539843955465,0.03469043464876092,15.0,15.0,15.0,15.0,0.0,60.0,60.0,60.0,60.0,0.0
johor_negeri_pahang_rubber_belt,B3,RandomForest,0.33,OK,30,0.266,0.26,0.2,0.36,0.03286335345030997,0.42533333333333334,0.43,0.36,0.5,0.04133407489138274,0.1593333333333333,0.15,0.07999999999999996,0.22,0.045632212860814814,0.25475343320441357,0.2524074074074074,0.20039682539682538,0.3264814814814815,0.029813139493915175,0.2934005208669299,0.29142024528494426,0.21120689655172412,0.38034482758620686,0.03785012544460735,0.038647087662516316,0.037218125565583224,-0.027311621966794375,0.12793742017879944,0.03351260808602396,25.0,25.0,25.0,25.0,0.0,50.0,50.0,50.0,50.0,0.0
johor_negeri_pahang_rubber_belt,B3,RandomForest,0.5,OK,30,0.2702702702702703,0.2702702702702703,0.16216216216216217,0.3783783783783784,0.04488944856958918,0.4495495495495495,0.4594594594594595,0.32432432432432434,0.5675675675675675,0.06406910662388658,0.17927927927927928,0.1891891891891892,0.05405405405405406,0.29729729729729726,0.05958781931351789,0.25741788065108556,0.24779422279422278,0.1630952380952381,0.36422764227642274,0.04738830873008548,0.29183715274943967,0.2932684982289138,0.1365079365079365,0.41950354609929075,0.06914885259925492,0.03441927209835406,0.038696681316818624,-0.058263853916027786,0.16065128724703193,0.0573737085639697,38.0,38.0,38.0,38.0,0.0,37.0,37.0,37.0,37.0,0.0
