timestamp,config_hash,input_files,random_seed,status,reason,seed_count,ok_support_balanced_candidates,diagnostic_rerun_candidates,total_train_min,per_class_train_min,best_candidate_seed,best_min_fold_train_count,best_min_train_class_count,stack,model,fold_mean_oa,fold_mean_macro_f1
20260624T082339Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,config\config_fold3_teacher_vhr_repair_20260613.yaml;data\reference_samples_verified_622_public.csv;results\active_q25_rerun\variogram_choice.json,42,INSUFFICIENT_SUPPORT_NO_OK_SPLITS,No candidate among audited seeds met both total and per-class support thresholds; metrics are best-available diagnostics only.,500,0,3,100,30,177,220,14,B2,RandomForest,0.5685741253297595,0.5276169683386239
20260624T082339Z,8c4cc91de21372175adee471eeab6f4ce3f9e978759bf72ec198c2225bda087c,config\config_fold3_teacher_vhr_repair_20260613.yaml;data\reference_samples_verified_622_public.csv;results\active_q25_rerun\variogram_choice.json,42,INSUFFICIENT_SUPPORT_NO_OK_SPLITS,No candidate among audited seeds met both total and per-class support thresholds; metrics are best-available diagnostics only.,500,0,3,100,30,177,220,14,B3,RandomForest,0.5907503848892279,0.5500070018581357
