sample_id,longitude,latitude,map_url,second_reader_class_name,second_reader_confidence,imagery_source_used,imagery_date_visible,reviewer_initials,review_timestamp_utc,interpretation_notes
TJ04_085,103.6908854,2.1835922,"https://www.google.com/maps/search/?api=1&query=2.1835922,103.6908854",,,,,,,
TJ04_087,101.7727931,1.5564955,"https://www.google.com/maps/search/?api=1&query=1.5564955,101.7727931",,,,,,,
TJ04_089,103.2342506,2.4932441,"https://www.google.com/maps/search/?api=1&query=2.4932441,103.2342506",,,,,,,
TJ04_093,103.1372156,4.7699859,"https://www.google.com/maps/search/?api=1&query=4.7699859,103.1372156",,,,,,,
TJ04_096,102.4864204,1.3566452,"https://www.google.com/maps/search/?api=1&query=1.3566452,102.4864204",,,,,,,
TJ04_098,102.3795143,2.5973188,"https://www.google.com/maps/search/?api=1&query=2.5973188,102.3795143",,,,,,,
TJ04_100,102.9092192,4.0786278,"https://www.google.com/maps/search/?api=1&query=4.0786278,102.9092192",,,,,,,
RS03_001,103.4047992,1.608703,"https://www.google.com/maps/search/?api=1&query=1.608703,103.4047992",,,,,,,
RS03_002,103.1967158,1.8076333,"https://www.google.com/maps/search/?api=1&query=1.8076333,103.1967158",,,,,,,
RS03_003,103.7018087,1.5596808,"https://www.google.com/maps/search/?api=1&query=1.5596808,103.7018087",,,,,,,
RS03_004,103.6572776,2.2557234,"https://www.google.com/maps/search/?api=1&query=2.2557234,103.6572776",,,,,,,
RS03_005,102.6019406,2.4284818,"https://www.google.com/maps/search/?api=1&query=2.4284818,102.6019406",,,,,,,
RS03_006,103.7073853,2.0107001,"https://www.google.com/maps/search/?api=1&query=2.0107001,103.7073853",,,,,,,
RS03_007,103.6319752,2.244585,"https://www.google.com/maps/search/?api=1&query=2.244585,103.6319752",,,,,,,
RS03_008,103.6345578,1.7938718,"https://www.google.com/maps/search/?api=1&query=1.7938718,103.6345578",,,,,,,
RS03_009,104.0804339,1.5142437,"https://www.google.com/maps/search/?api=1&query=1.5142437,104.0804339",,,,,,,
RS03_010,102.6373514,2.1491266,"https://www.google.com/maps/search/?api=1&query=2.1491266,102.6373514",,,,,,,
RS03_011,103.5033504,2.3232009,"https://www.google.com/maps/search/?api=1&query=2.3232009,103.5033504",,,,,,,
RS03_012,103.9187317,1.7665348,"https://www.google.com/maps/search/?api=1&query=1.7665348,103.9187317",,,,,,,
RS03_013,103.838912,1.8336907,"https://www.google.com/maps/search/?api=1&query=1.8336907,103.838912",,,,,,,
RS03_014,103.1932614,1.7443906,"https://www.google.com/maps/search/?api=1&query=1.7443906,103.1932614",,,,,,,
RS03_015,103.8390828,2.0959983,"https://www.google.com/maps/search/?api=1&query=2.0959983,103.8390828",,,,,,,
RS03_016,103.659354,2.4888062,"https://www.google.com/maps/search/?api=1&query=2.4888062,103.659354",,,,,,,
RS03_017,102.831866,2.7168817,"https://www.google.com/maps/search/?api=1&query=2.7168817,102.831866",,,,,,,
RS03_018,102.7684998,2.5952049,"https://www.google.com/maps/search/?api=1&query=2.5952049,102.7684998",,,,,,,
RS03_019,103.7153775,2.0051111,"https://www.google.com/maps/search/?api=1&query=2.0051111,103.7153775",,,,,,,
RS03_020,102.9894789,2.8312052,"https://www.google.com/maps/search/?api=1&query=2.8312052,102.9894789",,,,,,,
RS03_021,102.5468425,2.1406666,"https://www.google.com/maps/search/?api=1&query=2.1406666,102.5468425",,,,,,,
RS03_022,103.7084816,1.381472,"https://www.google.com/maps/search/?api=1&query=1.381472,103.7084816",,,,,,,
RS03_023,102.7842324,2.7794822,"https://www.google.com/maps/search/?api=1&query=2.7794822,102.7842324",,,,,,,
RS03_024,104.0323565,1.7836033,"https://www.google.com/maps/search/?api=1&query=1.7836033,104.0323565",,,,,,,
RS03_025,104.1638671,1.5812001,"https://www.google.com/maps/search/?api=1&query=1.5812001,104.1638671",,,,,,,
RS03_026,103.3866162,1.9222147,"https://www.google.com/maps/search/?api=1&query=1.9222147,103.3866162",,,,,,,
RS03_027,104.0624906,1.627712,"https://www.google.com/maps/search/?api=1&query=1.627712,104.0624906",,,,,,,
RS03_028,103.9778992,2.0844737,"https://www.google.com/maps/search/?api=1&query=2.0844737,103.9778992",,,,,,,
RS03_029,103.6889514,2.3872798,"https://www.google.com/maps/search/?api=1&query=2.3872798,103.6889514",,,,,,,
RS03_030,102.7491666,2.3643633,"https://www.google.com/maps/search/?api=1&query=2.3643633,102.7491666",,,,,,,
RS03_031,103.0354182,2.3487298,"https://www.google.com/maps/search/?api=1&query=2.3487298,103.0354182",,,,,,,
RS03_032,103.126943,1.7875162,"https://www.google.com/maps/search/?api=1&query=1.7875162,103.126943",,,,,,,
RS03_033,102.4024069,2.6982051,"https://www.google.com/maps/search/?api=1&query=2.6982051,102.4024069",,,,,,,
RS03_034,103.9754546,2.0967198,"https://www.google.com/maps/search/?api=1&query=2.0967198,103.9754546",,,,,,,
TJ01_001,100.2399196,6.4003355,"https://www.google.com/maps/search/?api=1&query=6.4003355,100.2399196",,,,,,,
TJ01_002,100.2905502,6.3732723,"https://www.google.com/maps/search/?api=1&query=6.3732723,100.2905502",,,,,,,
TJ01_003,100.2543774,6.2013855,"https://www.google.com/maps/search/?api=1&query=6.2013855,100.2543774",,,,,,,
TJ01_004,100.4011828,5.9378147,"https://www.google.com/maps/search/?api=1&query=5.9378147,100.4011828",,,,,,,
TJ01_005,100.239843,6.2845962,"https://www.google.com/maps/search/?api=1&query=6.2845962,100.239843",,,,,,,
TJ01_006,100.1790111,6.3319104,"https://www.google.com/maps/search/?api=1&query=6.3319104,100.1790111",,,,,,,
TJ01_007,100.1785207,6.3686688,"https://www.google.com/maps/search/?api=1&query=6.3686688,100.1785207",,,,,,,
TJ01_008,100.3018329,6.241337,"https://www.google.com/maps/search/?api=1&query=6.241337,100.3018329",,,,,,,
TJ01_009,100.2379778,6.4237192,"https://www.google.com/maps/search/?api=1&query=6.4237192,100.2379778",,,,,,,
TJ01_010,100.2469184,6.3762856,"https://www.google.com/maps/search/?api=1&query=6.3762856,100.2469184",,,,,,,
TJ01_011,100.2511913,6.427966,"https://www.google.com/maps/search/?api=1&query=6.427966,100.2511913",,,,,,,
TJ01_012,100.4064325,6.2663458,"https://www.google.com/maps/search/?api=1&query=6.2663458,100.4064325",,,,,,,
TJ01_013,100.2295401,6.3076141,"https://www.google.com/maps/search/?api=1&query=6.3076141,100.2295401",,,,,,,
TJ01_014,100.370944,6.2303028,"https://www.google.com/maps/search/?api=1&query=6.2303028,100.370944",,,,,,,
TJ01_015,100.2999882,6.3026062,"https://www.google.com/maps/search/?api=1&query=6.3026062,100.2999882",,,,,,,
TJ01_016,100.4109241,5.5057368,"https://www.google.com/maps/search/?api=1&query=5.5057368,100.4109241",,,,,,,
TJ01_017,100.3968556,6.091576,"https://www.google.com/maps/search/?api=1&query=6.091576,100.3968556",,,,,,,
TJ01_018,100.4470343,6.0217525,"https://www.google.com/maps/search/?api=1&query=6.0217525,100.4470343",,,,,,,
TJ01_019,100.2290936,6.4009804,"https://www.google.com/maps/search/?api=1&query=6.4009804,100.2290936",,,,,,,
TJ01_020,100.1934659,6.5118789,"https://www.google.com/maps/search/?api=1&query=6.5118789,100.1934659",,,,,,,
TJ01_021,100.4664671,6.092939,"https://www.google.com/maps/search/?api=1&query=6.092939,100.4664671",,,,,,,
TJ01_022,100.430682,5.3791487,"https://www.google.com/maps/search/?api=1&query=5.3791487,100.430682",,,,,,,
TJ01_023,100.488948,6.0659234,"https://www.google.com/maps/search/?api=1&query=6.0659234,100.488948",,,,,,,
TJ01_024,100.3721421,5.5990038,"https://www.google.com/maps/search/?api=1&query=5.5990038,100.3721421",,,,,,,
TJ01_025,100.3010432,6.1923135,"https://www.google.com/maps/search/?api=1&query=6.1923135,100.3010432",,,,,,,
TJ01_026,100.4710678,5.9949203,"https://www.google.com/maps/search/?api=1&query=5.9949203,100.4710678",,,,,,,
TJ01_027,100.4309887,5.9121753,"https://www.google.com/maps/search/?api=1&query=5.9121753,100.4309887",,,,,,,
TJ01_028,100.2789404,6.4685547,"https://www.google.com/maps/search/?api=1&query=6.4685547,100.2789404",,,,,,,
TJ01_029,100.4947825,5.559018,"https://www.google.com/maps/search/?api=1&query=5.559018,100.4947825",,,,,,,
TJ01_030,100.4192501,5.1054852,"https://www.google.com/maps/search/?api=1&query=5.1054852,100.4192501",,,,,,,
TJ01_031,100.5090912,5.5441545,"https://www.google.com/maps/search/?api=1&query=5.5441545,100.5090912",,,,,,,
TJ01_032,100.4205676,5.4131724,"https://www.google.com/maps/search/?api=1&query=5.4131724,100.4205676",,,,,,,
TJ01_033,100.2256609,6.3910025,"https://www.google.com/maps/search/?api=1&query=6.3910025,100.2256609",,,,,,,
TJ02_001,100.5659235,5.6102548,"https://www.google.com/maps/search/?api=1&query=5.6102548,100.5659235",,,,,,,
TJ02_002,100.4716372,5.5241185,"https://www.google.com/maps/search/?api=1&query=5.5241185,100.4716372",,,,,,,
TJ02_004,100.800038,6.0992545,"https://www.google.com/maps/search/?api=1&query=6.0992545,100.800038",,,,,,,
