sample_id,dw_entropy,dw_margin,dw_max_probability,dw_entropy_full_8class,dw_margin_full_8class,dw_max_probability_full_8class,dw_entropy_partial_5class,dw_margin_partial_5class,dw_max_probability_partial_5class,dw_water,dw_trees,dw_flooded_vegetation,dw_crops,dw_built,fdp_palm_probability_2023,fdp_rubber_probability_2023,screening_score,active_score
BCF_040,,,,,,,0.3791015362112994,0.7055520000000001,0.737083,0.030911,0.737083,0.029868,0.031531,0.031173,0.0,0.003922,,8.0
RS05_001,0.4837564737939353,0.6997639999999999,0.734787,0.4837564737939353,0.6997639999999999,0.734787,0.38773697934383644,0.70043,0.734787,0.034357,0.734787,0.031949,0.032606,0.028711,0.003922,0.0,6.0,
RS05_002,0.4763773950554542,0.7054330000000001,0.742631,0.4763773950554542,0.7054330000000001,0.742631,0.3786798994779396,0.7080470000000001,0.742631,0.034584,0.742631,0.032179,0.030953,0.026669,0.0,0.0,6.0,
RS05_003,0.466722804303945,0.714973,0.750348,0.466722804303945,0.714973,0.750348,0.3657442960595084,0.716867,0.750348,0.030181,0.750348,0.026577,0.028791,0.033481,0.0,0.0,6.0,
RS05_004,0.4825533107767183,0.703614,0.738433,0.4825533107767183,0.703614,0.738433,0.3856266212779011,0.703751,0.738433,0.034682,0.738433,0.032151,0.030238,0.030068,0.0,0.0,6.0,
RS05_005,0.4907912214352508,0.6964170000000001,0.733692,0.4907912214352508,0.6964170000000001,0.733692,0.38344219411918484,0.699229,0.733692,0.034463,0.733692,0.031701,0.029034,0.030021,0.0,0.0,6.0,
RS05_006,0.4619004555635778,0.71846,0.752157,0.4619004555635778,0.71846,0.752157,0.3735638592545196,0.71846,0.752157,0.033697,0.752157,0.030462,0.028287,0.03078,0.0,0.0,6.0,
RS05_007,0.4663036329441682,0.7160169999999999,0.749898,0.4663036329441682,0.7160169999999999,0.749898,0.3647135180089294,0.717808,0.749898,0.030931,0.749898,0.02589,0.029515,0.03209,0.0,0.0,6.0,
RS05_008,0.485776457451527,0.684069,0.737608,0.485776457451527,0.684069,0.737608,0.35957621338120166,0.7072200000000001,0.737608,0.028682,0.737608,0.030388,0.029176,0.025671,0.12549,0.0,6.0,
RS05_009,0.4735688015666227,0.709852,0.743917,0.4735688015666227,0.709852,0.743917,0.38729164000985467,0.709852,0.743917,0.033987,0.743917,0.029039,0.031882,0.034065,0.0,0.0,6.0,
RS05_010,0.5148440737661579,0.674123,0.716869,0.5148440737661579,0.674123,0.716869,0.43340385736451936,0.674123,0.716869,0.036551,0.716869,0.031998,0.042746,0.03796,0.0,0.0,6.0,
