timestamp_utc,config_hash,random_seed,source_accuracy_file,source_fold_support_file,stack,model,split,fold,train_count,test_count,B2_RF_OA,zero_leakage_assertion
20260613T071959Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,42,results/active_q25_rerun/table3_accuracy_by_stack_split.csv,results/active_q25_rerun/spatial_fold_leakage_audit.csv,B2,RandomForest,spatial,1,184,124,0.5887096774193549,True
20260613T071959Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,42,results/active_q25_rerun/table3_accuracy_by_stack_split.csv,results/active_q25_rerun/spatial_fold_leakage_audit.csv,B2,RandomForest,spatial,2,104,139,0.5755395683453237,True
20260613T071959Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,42,results/active_q25_rerun/table3_accuracy_by_stack_split.csv,results/active_q25_rerun/spatial_fold_leakage_audit.csv,B2,RandomForest,spatial,3,30,219,0.3698630136986301,True
20260613T071959Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,42,results/active_q25_rerun/table3_accuracy_by_stack_split.csv,results/active_q25_rerun/spatial_fold_leakage_audit.csv,B2,RandomForest,spatial,4,88,140,0.44285714285714284,True
