timestamp,config_hash,input_files,random_seed,status,reason,stack,model,split,fold,variable,morans_i,n_samples,distance_threshold_m
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,random,2,incorrect,-0.01601212777034822,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,random,3,incorrect,0.012840762840762911,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,random,4,incorrect,0.02356299039054924,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,1,incorrect,-0.006338061254300085,124,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,2,incorrect,-0.008982787341558766,139,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,3,incorrect,0.023284954881772582,219,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,4,incorrect,0.06476801511235793,140,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,random,1,incorrect,-0.006948919401209483,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,random,2,incorrect,0.003047501841941225,156,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,random,3,incorrect,0.003947464794704851,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,random,4,incorrect,0.0002020974437404904,155,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,1,incorrect,0.002860537441298088,124,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,2,incorrect,-0.011021233341270371,139,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,3,incorrect,0.02782141555304189,219,126783.51747145985
20260612T173210Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,OK,,B2,RandomForest,spatial,4,incorrect,0.033348803764232375,140,126783.51747145985
