timestamp_utc,config_hash,input_files,random_seed,comparison,treatment_stack,baseline_stack,model,split,status,reason,n_paired_samples,observed_pooled_oa_diff,bootstrap_replicates,ci_method,ci_lower_2_5,ci_upper_97_5,ci_contains_zero,fold_mean_diff,fold_diff_min,fold_diff_max,fold_level_uncertainty_status
20260612T175809Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,B2_vs_B0_RF_spatial,B2,B0,RandomForest,spatial,OK,,622,0.15594855305466238,5000,paired_sample_bootstrap_percentile,0.12057877813504823,0.19292604501607716,False,0.1653632235932105,0.1050228310502283,0.23387096774193547,INSUFFICIENT_FOLDS_FOR_RELIABLE_FOLD_BOOTSTRAP_N_EQUALS_4
20260612T175809Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,B3_vs_B1_RF_spatial,B3,B1,RandomForest,spatial,OK,,622,0.07556270096463022,5000,paired_sample_bootstrap_percentile,0.04501607717041801,0.10610932475884244,False,0.08966831206457093,0.0091324200913242,0.24193548387096775,INSUFFICIENT_FOLDS_FOR_RELIABLE_FOLD_BOOTSTRAP_N_EQUALS_4
20260612T175809Z,13c231aedc6c4af000cc8e3d111c543a4f647b4d8bedc4a01eb286ff8f65d8e5,results/active_q25_rerun/predictions_by_fold.csv,42,B3_vs_B2_RF_spatial,B3,B2,RandomForest,spatial,OK,,622,-0.00964630225080386,5000,paired_sample_bootstrap_percentile,-0.02572347266881029,0.006430868167202572,True,-0.011008934787653748,-0.03597122302158273,0.0,INSUFFICIENT_FOLDS_FOR_RELIABLE_FOLD_BOOTSTRAP_N_EQUALS_4
