timestamp,config_hash,input_files,random_seed,status,reason,stack,model,split,fold,variable,morans_i,n_samples,distance_threshold_m
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,RandomForest,spatial,2,incorrect,-0.0925925925925925,15,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,RandomForest,spatial,3,incorrect,0.004871579907765288,179,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,RandomForest,spatial,4,incorrect,-0.18898071625344354,16,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,random,1,incorrect,0.0006900445392384418,128,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,random,2,incorrect,-0.014927713150461942,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,random,3,incorrect,-0.01919154038597234,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,random,4,incorrect,0.010980186636209413,127,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,2,incorrect,-0.1333333333333333,15,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,3,incorrect,-0.0005876297908708678,179,158475.67167120945
20260618T153855Z,2669ca471fe766df3b3392c7d3416b47e081e412214a4c36dca25c8f8ce306a1,C:\Users\m1761\Documents\New project\IJRS_ADJUDICATED_SENSITIVITY_20260618\results\adjudicated_sensitivity_20260618\predictions_by_fold.csv,42,OK,,B1,XGBoost,spatial,4,incorrect,-0.1919191919191919,16,158475.67167120945
